timestamp,test-class,test-method,time,description,result
"2022-05-22 11:39:39.294","acme.testing.inventor.toolkits.InventorToolkitsDeleteTest","positiveDeleteToolkitInventorTest",11458,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:39:54.389","acme.testing.inventor.toolkits.InventorToolkitsDeleteTest","positiveDeleteWithArtefactsToolkitInventorTest",14771,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:40:16.185","acme.testing.inventor.toolkits.InventorToolkitsPublishTest","createToolkit",7405,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:40:20.9","acme.testing.inventor.toolkits.InventorToolkitsPublishTest","negativePublishWithNoArtefactsToolkitInventorTest",4392,""negativePublishWithNoArtefactsToolkitInventorTest()"","OK"
"2022-05-22 11:40:49.918","acme.testing.inventor.toolkits.InventorToolkitsPublishTest","positivePublishToolkitInventorTest",28691,""positivePublishToolkitInventorTest()"","OK"
"2022-05-22 11:41:12.279","acme.testing.inventor.toolkits.InventorToolkitsListTest","positiveToolkitInventorTest",8398,""[1] recordIndex=0, code=AAA-123-A, title=New title 1, description=New description 1, assemblyNotes=This is assembly notes 1, link=https://www.google.es, published=true"","OK"
"2022-05-22 11:41:21.001","acme.testing.inventor.toolkits.InventorToolkitsListTest","positiveToolkitInventorTest",8374,""[2] recordIndex=1, code=ABB-321-A, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=https://www.google.com, published=true"","OK"
"2022-05-22 11:41:31.438","acme.testing.inventor.toolkits.InventorToolkitsListTest","positiveToolInventorTest",10116,""[1] recordIndex=0, type=TOOL, name=name04, code=ABC-012-D, techonology=technology04, description=description04, retailPrice=EUR 10.00, moreInfo=null"","OK"
"2022-05-22 11:41:44.937","acme.testing.inventor.toolkits.InventorToolkitsListTest","NegativeToolInventorTest",13164,""[1] recordIndex=0"","OK"
"2022-05-22 11:41:57.408","acme.testing.inventor.toolkits.InventorToolkitsListTest","NegativeToolkitInventorTest",12153,""[1] recordIndex=0"","OK"
"2022-05-22 11:42:10.034","acme.testing.inventor.toolkits.InventorToolkitsListTest","NegativeToolkitInventorTest",12245,""[2] recordIndex=1"","OK"
"2022-05-22 11:42:32.281","acme.testing.inventor.toolkits.InventorToolkitsUpdateArtefactsTest","createToolkit",7869,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:42:55.875","acme.testing.inventor.toolkits.InventorToolkitsUpdateArtefactsTest","positiveUpdateArtefactToolkitInventorTest",23262,""positiveUpdateArtefactToolkitInventorTest()"","OK"
"2022-05-22 11:43:20.429","acme.testing.inventor.toolkits.InventorToolkitsUpdateArtefactsTest","positiveDeleteArtefactToolkitInventorTest",24239,""positiveDeleteArtefactToolkitInventorTest()"","OK"
"2022-05-22 11:43:31.987","acme.testing.inventor.toolkits.InventorToolkitsUpdateArtefactsTest","negativeUpdateToolToolkitInventorTest",11220,""negativeUpdateToolToolkitInventorTest()"","OK"
"2022-05-22 11:44:00.998","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","positiveToolkitInventorTest",14673,""[1] recordIndex=0, code=AAA-000-A, title=New title 1, description=New description 1, assemblyNotes=This is assembly notes 1, link=https://www.google.es"","OK"
"2022-05-22 11:44:15.458","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","positiveToolkitInventorTest",14138,""[2] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:44:18.371","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitPatronTest",2588,""negativeToolkitPatronTest()"","OK"
"2022-05-22 11:44:23.451","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestCode",4719,""[1] recordIndex=0, code=null, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:44:28.54","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestCode",4776,""[2] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:44:33.73","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestCode",4869,""[3] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:44:38.814","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestTitle",4737,""[1] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:44:44.013","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestTitle",4882,""[2] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:44:49.07","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestDescription",4741,""[1] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:44:54.26","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestDescription",4869,""[2] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:44:59.362","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestAssemblyNotes",4753,""[1] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:45:04.558","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestAssemblyNotes",4880,""[2] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:45:12.715","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestLink",7841,""[1] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
