timestamp,test-class,test-method,time,description,result
"2022-05-21 17:50:56.678","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",14101,""[1] recordIndex=1, type=TOOL, name=null, code=WFP-040-F, technology=tecnologia1, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:51:07.646","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10556,""[2] recordIndex=2, type=TOOL, name=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa…, code=WFP-050-F, technology=tecnologia1, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:51:18.195","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10170,""[3] recordIndex=3, type=TOOL, name=test0, code=ABC-012-A, technology=tecnologia1, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:51:29.496","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10698,""[4] recordIndex=4, type=TOOL, name=test0, code=null, technology=tecnologia1, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:51:39.87","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",9745,""[5] recordIndex=5, type=TOOL, name=test0, code=WFP-051-F, technology=null, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:51:51.529","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",11250,""[6] recordIndex=6, type=TOOL, name=test0, code=WFP-052-F, technology=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:52:03.027","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10871,""[7] recordIndex=7, type=TOOL, name=test0, code=WFP-053-F, technology=tecnologia0, description=null, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:52:13.744","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10141,""[8] recordIndex=8, type=TOOL, name=test0, code=WFP-054-F, technology=tecnologia0, description=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa…, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:52:24.637","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10302,""[9] recordIndex=9, type=TOOL, name=test0, code=WFP-055-F, technology=tecnologia0, description=descripcion0, retailPrice=null, moreInfo=null"","OK"
"2022-05-21 17:52:35.513","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10297,""[10] recordIndex=10, type=TOOL, name=test0, code=WFP-056-F, technology=tecnologia0, description=descripcion0, retailPrice=12, moreInfo=null"","OK"
"2022-05-21 17:52:46.899","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10788,""[11] recordIndex=11, type=TOOL, name=test0, code=WFP-056-F, technology=tecnologia0, description=descripcion0, retailPrice=ARD 12, moreInfo=null"","OK"
"2022-05-21 17:52:57.79","acme.testing.inventor.artefact.InventorArtefactUpdateTest","negativeTest",10314,""[12] recordIndex=12, type=TOOL, name=test0, code=WFP-057-F, technology=tecnologia0, description=descripcion0, retailPrice=12, moreInfo=prueba"","OK"
"2022-05-21 17:53:10.723","acme.testing.inventor.artefact.InventorArtefactUpdateTest","positiveTest",12584,""[1] recordIndex=0, type=COMPONENT, name=name06, code=AAA-050-F, technology=test, description=descripcion0, retailPrice=EUR 120.00, moreInfo=http://www.test0.com"","OK"
"2022-05-21 17:53:25.402","acme.testing.inventor.artefact.InventorArtefactUpdateTest","positiveTest",14098,""[2] recordIndex=1, type=TOOL, name=name06, code=AAB-050-F, technology=test3, description=descripcion12, retailPrice=EUR 125.00, moreInfo=null"","OK"
"2022-05-21 17:53:25.766","acme.testing.inventor.artefact.InventorArtefactUpdateTest","hackingTest",1,""hackingTest()"","OK"
"2022-05-21 17:53:41.365","acme.testing.inventor.artefact.InventorArtefactCreateTest","positiveTest",13777,""[1] recordIndex=0, type=COMPONENT, name=test0, code=ZFP-050-F, technology=tecnologia0, description=descripcion0, retailPrice=EUR 120.00, moreInfo=http://www.test0.com"","OK"
"2022-05-21 17:53:55.574","acme.testing.inventor.artefact.InventorArtefactCreateTest","positiveTest",13630,""[2] recordIndex=1, type=TOOL, name=test1, code=WFP-050-F, technology=tecnologia1, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
"2022-05-21 17:54:06.744","acme.testing.inventor.artefact.InventorArtefactCreateTest","negativeTest",10596,""[1] recordIndex=1, type=TOOL, name=null, code=WFP-040-F, technology=tecnologia1, description=descripcion1, retailPrice=EUR 120.00, moreInfo=null"","OK"
